files,chunks,candidates,clones,statusUpdates,timestamp
109000,5477600,0,0,3,880,
109000,5507700,0,0,3,886,
109000,5507700,0,0,3,892,
109000,5518300,0,0,3,898,
109000,5555400,0,0,3,905,
109000,5568600,0,0,3,911,
109000,5578200,0,0,3,917,
109000,5599600,0,0,3,923,
109000,5621800,0,0,3,930,
109000,5637500,0,0,3,936,
109000,5650200,0,0,3,942,
109000,5669600,0,0,3,949,
109000,5687700,0,0,3,955,
109000,5721700,0,0,3,961,
109000,5785300,0,0,3,968,
109000,5848600,0,0,3,974,
109000,5923500,0,0,3,980,
109000,5993100,0,0,3,987,
109000,6067700,0,0,3,993,
109000,6120300,0,0,3,999,
109000,6188400,0,0,3,1006,
109000,6266200,0,0,3,1012,
109000,6332200,0,0,3,1018,
109000,6384600,0,0,3,1025,
109000,6439200,0,0,3,1031,
109000,6492700,0,0,3,1038,
109000,6553700,0,0,3,1044,
109000,6589600,0,0,3,1051,
109000,6645900,0,0,3,1057,
109000,6702200,0,0,3,1064,
109000,6760500,0,0,3,1070,
109000,6774300,0,0,3,1077,
109000,6822600,0,0,3,1083,
109000,6860500,0,0,3,1090,
109000,6926400,0,0,3,1096,
109000,6965000,0,0,3,1103,
109000,7019100,0,0,3,1109,
109000,7077600,0,0,3,1116,
109000,7128200,0,0,3,1122,
109000,7179800,0,0,3,1129,
109000,7211700,0,0,3,1136,
109000,7230400,0,0,3,1142,
109000,7310700,0,0,3,1149,
109000,7361900,0,0,3,1156,
109000,7411800,0,0,3,1162,
109000,7461100,0,0,3,1169,
109000,7482600,0,0,3,1176,
109000,7503000,0,0,3,1182,
109000,7503000,0,0,3,1189,
109000,7503800,0,0,3,1195,
109000,7507300,0,0,3,1202,
109000,7508400,0,0,3,1209,
109000,7510100,0,0,3,1215,
109000,7510500,0,0,3,1222,
109000,7510500,0,0,3,1228,
109000,7510500,0,0,3,1235,
109000,7510500,0,0,3,1242,
109000,7510500,0,0,3,1248,
109000,7510500,0,0,3,1255,
109000,7516000,0,0,3,1261,
109000,7516000,0,0,3,1268,
109000,7523600,0,0,3,1274,
109000,7584500,0,0,3,1281,
109000,7612700,0,0,3,1288,
109000,7659100,0,0,3,1294,
109000,7687000,0,0,3,1301,
109000,7727000,0,0,3,1308,
109000,7753200,0,0,3,1315,
109000,7785400,0,0,3,1321,
109000,7854500,0,0,3,1328,
109000,7911600,0,0,3,1335,
109000,7957100,0,0,3,1342,
109000,8000100,0,0,3,1348,
109000,8023600,0,0,3,1355,
